time,EMG1,EMG2,EMG3,flow,volume,poes,pgas,pdi
0.047,0.031051,-0.02081,0.019424,0.022068,-0.00062794,-4.5721,7.7834,12.355
0.048,-0.018999,-0.0020877,0.023474,0.022534,-0.0006413,-4.5651,7.7826,12.348
0.049,0.014026,0.014424,-0.032368,0.023,-0.00065466,-4.5582,7.7818,12.34
0.05,-0.023046,0.00078052,0.0012734,0.023465,-0.00066802,-4.5513,7.7811,12.332
0.051,0.0053048,-0.016364,0.015495,0.02393,-0.00068139,-4.5444,7.7804,12.325
0.052,0.018058,0.01451,-0.017388,0.024396,-0.00069475,-4.5376,7.7797,12.317
0.053,-0.010171,-0.004782,0.025547,0.02486,-0.00070811,-4.5309,7.7791,12.31
0.054,-0.005177,0.0027601,-0.02592,0.025325,-0.00072147,-4.5242,7.7786,12.303
0.055,0.0013856,-0.0057159,0.0095166,0.025789,-0.00073483,-4.5176,7.778,12.296
0.056,0.013685,0.0065077,-0.0010485,0.026253,-0.00074819,-4.511,7.7776,12.289
0.057,-0.026218,0.008849,0.004043,0.026717,-0.00076155,-4.5045,7.7771,12.282
0.058,0.03271,-0.038014,-0.0019107,0.027181,-0.00077491,-4.4981,7.7767,12.275
0.059,-0.026252,0.035387,-0.00188,0.027644,-0.00078827,-4.4918,7.7764,12.268
0.06,0.0005589,0.00042992,0.0079265,0.028107,-0.00080163,-4.4856,7.7761,12.262
0.061,0.018483,-0.016179,-0.017887,0.02857,-0.00081499,-4.4794,7.7759,12.255
0.062,-0.011157,0.01194,0.017722,0.029032,-0.00082835,-4.4734,7.7758,12.249
0.063,0.0056851,-0.0059238,-0.0014554,0.029495,-0.00084171,-4.4675,7.7758,12.243
0.064,-0.013477,-0.017843,-0.021533,0.029956,-0.00085507,-4.4617,7.7759,12.238
0.065,0.017193,0.038531,0.024671,0.030418,-0.00086843,-4.456,7.7761,12.232
0.066,-0.020623,-0.028941,-0.0013894,0.030879,-0.00088179,-4.4504,7.7763,12.227
0.067,0.018725,0.023897,-0.0056085,0.03134,-0.00089515,-4.445,7.7767,12.222
0.068,-0.0042863,-0.031401,-0.010816,0.031801,-0.00090851,-4.4396,7.7772,12.217
0.069,0.0047255,0.0079333,0.010502,0.032261,-0.00092187,-4.4344,7.7777,12.212
0.07,-0.019492,0.02462,0.0016261,0.032721,-0.00093523,-4.4293,7.7784,12.208
0.071,0.010949,-0.01383,-0.0075421,0.033181,-0.0009486,-4.4243,7.7792,12.203
0.072,0.016957,-0.0083663,0.020046,0.033641,-0.00096196,-4.4194,7.78,12.199
0.073,-0.024523,-0.0030811,-0.024824,0.0341,-0.00097532,-4.4146,7.781,12.196
0.074,0.0020926,0.022491,0.00619,0.034558,-0.00098868,-4.4098,7.7821,12.192
0.075,0.008685,-0.014075,-0.0027344,0.035017,-0.001002,-4.4052,7.7833,12.188
0.076,0.016654,-0.0080479,0.021426,0.035475,-0.0010154,-4.4006,7.7845,12.185
0.077,-0.027296,0.0020622,-0.0094142,0.035933,-0.0010288,-4.3961,7.7859,12.182
0.078,-0.00209,0.022707,-0.014747,0.03639,-0.0010421,-4.3917,7.7874,12.179
0.079,0.019296,-0.017177,-0.011618,0.036847,-0.0010555,-4.3875,7.7889,12.176
0.08,-0.01324,-4.5326e-05,0.04582,0.037303,-0.0010688,-4.3833,7.7906,12.174
0.081,0.016158,-0.0020032,-0.023163,0.03776,-0.0010822,-4.3792,7.7923,12.172
0.082,-0.018948,-0.011651,-0.019295,0.038216,-0.0010956,-4.3752,7.7942,12.169
0.083,0.0038097,0.035116,0.025211,0.038671,-0.0011089,-4.3713,7.7962,12.167
0.084,0.019839,-0.026445,0.0016309,0.039126,-0.0011223,-4.3674,7.7982,12.166
0.085,-0.024935,0.0085162,-0.014345,0.039581,-0.0011356,-4.3637,7.8004,12.164
0.086,0.0028222,-0.011558,-0.0071617,0.040035,-0.001149,-4.36,7.8027,12.163
0.087,0.0087964,0.024495,0.01884,0.040489,-0.0011624,-4.3564,7.805,12.161
0.088,-0.00036241,-0.026579,-0.008311,0.040943,-0.0011757,-4.3528,7.8075,12.16
0.089,-0.0048648,0.01133,0.01211,0.041396,-0.0011891,-4.3493,7.81,12.159
0.09,0.02013,-0.0033059,-0.019759,0.041849,-0.0012024,-4.3459,7.8127,12.159
0.091,-0.03216,0.0074252,0.012951,0.042301,-0.0012158,-4.3425,7.8154,12.158
0.092,0.017806,-0.0011003,-0.010914,0.042753,-0.0012292,-4.3391,7.8183,12.157
0.093,-0.010929,0.0030776,0.014553,0.043204,-0.0012425,-4.3358,7.8213,12.157
0.094,-0.0019419,-0.02325,-0.0067958,0.043655,-0.0012559,-4.3326,7.8243,12.157
0.095,0.038191,0.030974,-0.0074774,0.044106,-0.0012692,-4.3295,7.8274,12.157
0.096,-0.031784,-0.029835,-0.0015201,0.044556,-0.0012826,-4.3264,7.8307,12.157
0.097,-0.0038796,0.028908,0.027322,0.045006,-0.001296,-4.3234,7.834,12.157
0.098,0.0096691,-0.01537,-0.017658,0.045455,-0.0013093,-4.3205,7.8374,12.158
0.099,-0.025759,0.0095104,-0.0043983,0.045904,-0.0013227,-4.3177,7.8409,12.159
0.1,0.041775,-0.022408,-0.015391,0.046353,-0.001336,-4.3149,7.8445,12.159
0.101,-0.0016335,0.016707,0.029443,0.0468,-0.0013494,-4.3122,7.8482,12.16
0.102,-0.03625,0.012719,-0.011939,0.047248,-0.0013628,-4.3096,7.8519,12.161
0.103,0.029391,-0.023303,0.0075753,0.047695,-0.0013761,-4.307,7.8558,12.163
0.104,-0.017679,0.012163,-0.0046712,0.048142,-0.0013895,-4.3046,7.8597,12.164
0.105,0.0046681,-0.011254,-0.0010331,0.048588,-0.0014029,-4.3022,7.8636,12.166
0.106,0.0055088,0.0098273,-0.020174,0.049033,-0.0014162,-4.2999,7.8677,12.168
0.107,0.0040626,0.004278,0.025054,0.049478,-0.0014296,-4.2977,7.8718,12.17
0.108,-0.0033142,0.001531,0.00853,0.049923,-0.0014429,-4.2955,7.8761,12.172
0.109,-0.0059917,-0.020784,-0.01298,0.050367,-0.0014563,-4.2934,7.8804,12.174
0.11,-0.0092645,0.013621,-0.018737,0.050811,-0.0014697,-4.2914,7.8847,12.176
0.111,0.01228,0.0086877,0.025901,0.051254,-0.001483,-4.2893,7.8892,12.179
0.112,0.025242,-0.024559,-0.019326,0.051696,-0.0014964,-4.2873,7.8937,12.181
0.113,-0.042545,0.029251,0.035734,0.052139,-0.0015097,-4.2854,7.8983,12.184
0.114,0.0050688,-0.014229,-0.037197,0.05258,-0.0015231,-4.2834,7.9029,12.186
0.115,0.033613,0.0027614,0.0075902,0.053021,-0.0015365,-4.2815,7.9077,12.189
0.116,-0.026257,-0.0070498,0.0028369,0.053462,-0.0015498,-4.2796,7.9124,12.192
0.117,-0.0097997,-0.013392,-0.0039341,0.053902,-0.0015632,-4.2777,7.9172,12.195
0.118,0.031161,0.051323,0.025847,0.054341,-0.0015765,-4.2759,7.9221,12.198
0.119,-0.022265,-0.051167,-0.019344,0.05478,-0.0015899,-4.2742,7.9271,12.201
0.12,0.00090258,0.020272,-0.021475,0.055219,-0.0016033,-4.2724,7.932,12.204
0.121,0.019001,-0.004013,0.027862,0.055657,-0.0016166,-4.2707,7.9371,12.208
0.122,-0.026649,0.013025,-0.00040356,0.056094,-0.00163,-4.269,7.9422,12.211
0.123,0.0067485,-0.023691,-0.0051354,0.056531,-0.0016433,-4.2673,7.9473,12.215
0.124,0.013662,0.0063444,-0.020027,0.056967,-0.0016567,-4.2656,7.9524,12.218
0.125,-0.0013346,0.014747,0.036467,0.057403,-0.0016701,-4.2639,7.9576,12.222
0.126,-0.0083692,0.0077018,-0.015408,0.057838,-0.0016834,-4.2623,7.9628,12.225
0.127,-0.0014818,-0.028431,-0.0199,0.058272,-0.0016968,-4.2606,7.968,12.229
0.128,-0.0086528,-0.00076392,0.033751,0.058706,-0.0017101,-4.259,7.9733,12.232
0.129,0.020965,0.014408,-0.01894,0.059139,-0.0017235,-4.2573,7.9785,12.236
0.13,-0.0060935,0.017034,-0.010198,0.059572,-0.0017369,-4.2557,7.9838,12.239
0.131,0.006722,-0.037387,0.014387,0.060004,-0.0017502,-4.2541,7.989,12.243
0.132,-0.024378,0.035296,0.013027,0.060436,-0.0017636,-4.2525,7.9943,12.247
0.133,0.013291,-0.014014,-0.01641,0.060867,-0.0017769,-4.2509,7.9995,12.25
0.134,-0.0021771,-0.023101,-0.014252,0.061297,-0.0017903,-4.2494,8.0047,12.254
0.135,0.023034,0.024365,0.033422,0.061727,-0.0018037,-4.2479,8.0099,12.258
0.136,-0.026674,0.00081437,-0.029972,0.062156,-0.001817,-4.2465,8.015,12.262
0.137,0.00033492,0.012607,0.013415,0.062585,-0.0018304,-4.2451,8.0202,12.265
0.138,-0.0073719,-0.041994,0.0058113,0.063013,-0.0018437,-4.2438,8.0253,12.269
0.139,0.044956,0.034256,-0.0099394,0.06344,-0.0018571,-4.2425,8.0303,12.273
0.14,-0.034159,-0.0050105,0.0072752,0.063867,-0.0018705,-4.2412,8.0354,12.277
0.141,-0.020512,-0.0090391,-0.020107,0.064293,-0.0018838,-4.24,8.0404,12.28
0.142,0.035753,0.01364,0.041689,0.064718,-0.0018972,-4.2388,8.0454,12.284
0.143,-0.010669,-0.035896,-0.04574,0.065143,-0.0019106,-4.2376,8.0504,12.288
0.144,0.011335,0.050124,0.030012,0.065567,-0.0019239,-4.2364,8.0553,12.292
0.145,-0.03042,-0.022746,-0.019375,0.065991,-0.0019373,-4.2352,8.0603,12.295
0.146,0.022738,-0.0086446,0.013759,0.066414,-0.0019506,-4.2341,8.0651,12.299
0.147,-0.0077326,0.018055,0.0010578,0.066836,-0.001964,-4.2329,8.07,12.303
0.148,0.0020819,-0.016079,-0.00864,0.067257,-0.0019774,-4.2318,8.0748,12.307
0.149,0.018547,-0.0023927,0.0043261,0.067678,-0.0019907,-4.2306,8.0795,12.31
0.15,-0.023187,0.013897,-0.0044942,0.068099,-0.0020041,-4.2295,8.0841,12.314
0.151,-0.017333,-0.0043817,-0.00051247,0.068518,-0.0020174,-4.2284,8.0887,12.317
0.152,0.038225,0.0085691,0.020121,0.068937,-0.0020308,-4.2274,8.0932,12.321
0.153,-0.015725,-0.011397,-0.034866,0.069355,-0.0020442,-4.2263,8.0977,12.324
0.154,0.005008,-0.011961,0.019311,0.069773,-0.0020575,-4.2253,8.102,12.327
0.155,-0.011755,0.015359,0.018494,0.070189,-0.0020709,-4.2243,8.1063,12.331
0.156,0.018389,0.0094911,-0.02452,0.070606,-0.0020842,-4.2233,8.1106,12.334
0.157,-0.023081,-0.0069437,-0.0065979,0.071021,-0.0020976,-4.2224,8.1147,12.337
0.158,0.0068387,-0.023029,0.0047417,0.071436,-0.002111,-4.2215,8.1188,12.34
0.159,0.014455,0.030388,0.027917,0.07185,-0.0021243,-4.2206,8.1228,12.343
0.16,-0.01044,-0.010746,-0.026128,0.072263,-0.0021377,-4.2198,8.1267,12.347
0.161,0.0041391,-0.004128,0.010592,0.072676,-0.002151,-4.219,8.1305,12.35
0.162,-0.0060931,0.0048913,-0.022996,0.073088,-0.0021644,-4.2183,8.1343,12.353
0.163,-0.0014166,0.005349,0.027644,0.073499,-0.0021778,-4.2176,8.138,12.356
0.164,0.0040219,-0.011283,-0.0058441,0.073909,-0.0021911,-4.2169,8.1416,12.359
0.165,0.012558,-0.013878,-0.0056262,0.074319,-0.0022045,-4.2162,8.1452,12.361
0.166,-0.032804,0.037032,-0.0010731,0.074728,-0.0022178,-4.2156,8.1487,12.364
0.167,0.040701,-0.009442,-0.0040723,0.075136,-0.0022312,-4.2151,8.1521,12.367
0.168,-0.030114,-0.015773,0.029097,0.075543,-0.0022446,-4.2146,8.1555,12.37
0.169,0.0065258,-0.0098239,-0.039591,0.07595,-0.0022579,-4.2141,8.1588,12.373
0.17,0.013293,0.01743,0.014562,0.076356,-0.0022713,-4.2136,8.1621,12.376
0.171,-0.015332,0.02215,-0.00095517,0.076761,-0.0022846,-4.2132,8.1653,12.379
0.172,0.0026332,-0.025086,0.023075,0.077166,-0.002298,-4.2128,8.1684,12.381
0.173,0.0029383,-0.017525,-0.013529,0.07757,-0.0023114,-4.2125,8.1715,12.384
0.174,0.0089493,0.015124,-0.031518,0.077973,-0.0023247,-4.2121,8.1746,12.387
0.175,-0.018713,0.020241,0.019946,0.078375,-0.0023381,-4.2118,8.1776,12.389
0.176,0.01537,-0.0044929,0.027739,0.078776,-0.0023514,-4.2115,8.1805,12.392
0.177,-0.0087394,-0.032565,-0.016449,0.079177,-0.0023648,-4.2112,8.1834,12.395
0.178,-0.00044247,0.024686,-0.024575,0.079577,-0.0023782,-4.211,8.1862,12.397
0.179,0.0048242,0.0012239,0.026526,0.079976,-0.0023915,-4.2107,8.189,12.4
0.18,0.0044023,-0.0047058,-0.0058928,0.080374,-0.0024049,-4.2103,8.1917,12.402
0.181,0.0010767,-0.007691,0.0012303,0.080772,-0.0024183,-4.21,8.1944,12.404
0.182,-0.025419,0.013351,-0.019995,0.081168,-0.0024316,-4.2096,8.197,12.407
0.183,0.023239,0.001687,0.031043,0.081564,-0.002445,-4.2092,8.1996,12.409
0.184,-1.2535e-05,-0.020958,-0.0081338,0.081959,-0.0024583,-4.2088,8.2021,12.411
0.185,-0.005342,0.023921,-0.017025,0.082353,-0.0024717,-4.2084,8.2046,12.413
0.186,0.0020843,-0.014214,0.026786,0.082747,-0.0024851,-4.2079,8.207,12.415
0.187,-0.0077853,-0.011407,-0.036284,0.08314,-0.0024984,-4.2075,8.2094,12.417
0.188,0.022733,0.052287,0.025421,0.083531,-0.0025118,-4.207,8.2117,12.419
0.189,-0.031609,-0.069984,-0.00050522,0.083922,-0.0025251,-4.2066,8.214,12.421
0.19,0.0083048,0.035,0.0058573,0.084313,-0.0025385,-4.2061,8.2162,12.422
0.191,0.015359,0.014152,-0.02094,0.084702,-0.0025519,-4.2055,8.2184,12.424
0.192,0.00018595,-0.018288,0.010118,0.08509,-0.0025652,-4.205,8.2205,12.425
0.193,-0.009275,-0.0052697,-0.0024707,0.085478,-0.0025786,-4.2045,8.2225,12.427
0.194,-0.0073745,-0.0013627,0.017237,0.085865,-0.0025919,-4.2039,8.2245,12.428
0.195,0.0030939,0.024795,-0.018127,0.086251,-0.0026053,-4.2034,8.2265,12.43
0.196,0.012347,-0.018913,-0.0083167,0.086636,-0.0026187,-4.2028,8.2283,12.431
0.197,-0.0065596,-0.0010323,0.019375,0.08702,-0.002632,-4.2022,8.2301,12.432
0.198,-0.0037495,-0.00068143,-0.0088514,0.087404,-0.0026454,-4.2016,8.2318,12.433
0.199,0.0097586,0.014467,0.017977,0.087786,-0.0026587,-4.201,8.2334,12.434
0.2,-0.015302,-0.017488,-0.030646,0.088168,-0.0026721,-4.2004,8.235,12.435
0.201,0.010531,0.01257,0.0075318,0.088549,-0.0026855,-4.1997,8.2365,12.436
0.202,-0.0050216,0.0023777,0.032824,0.088929,-0.0026988,-4.1991,8.2378,12.437
0.203,0.015619,-0.026834,-0.052306,0.089308,-0.0027122,-4.1985,8.2391,12.438
0.204,-0.030185,0.019251,0.025342,0.089686,-0.0027255,-4.198,8.2404,12.438
0.205,0.029245,0.013247,0.021014,0.090063,-0.0027389,-4.1974,8.2415,12.439
0.206,-0.012173,-0.0021023,-0.016803,0.090439,-0.0027523,-4.1969,8.2426,12.439
0.207,-0.0036787,-0.018755,-0.020526,0.090815,-0.0027656,-4.1964,8.2435,12.44
0.208,0.0055427,-0.0099932,0.018446,0.09119,-0.002779,-4.1959,8.2444,12.44
0.209,-0.0060037,0.019201,0.0099062,0.091563,-0.0027923,-4.1955,8.2451,12.441
0.21,0.0066284,0.012691,-0.014747,0.091936,-0.0028057,-4.195,8.2457,12.441
0.211,0.011614,-0.012891,-0.0031151,0.092308,-0.0028191,-4.1946,8.2462,12.441
0.212,-0.025355,-0.0065519,0.010953,0.092679,-0.0028324,-4.1942,8.2466,12.441
0.213,0.0064539,0.015479,-0.0025996,0.093049,-0.0028458,-4.1938,8.2469,12.441
0.214,0.0045947,-0.025606,0.014901,0.093418,-0.0028591,-4.1935,8.247,12.441
0.215,0.015716,0.010407,-0.037814,0.093786,-0.0028725,-4.1932,8.2471,12.44
0.216,-0.028053,0.015688,0.016206,0.094154,-0.0028859,-4.1929,8.247,12.44
0.217,0.016604,-0.0042163,0.020266,0.09452,-0.0028992,-4.1927,8.2468,12.44
0.218,0.0091299,-0.013868,-0.01156,0.094886,-0.0029126,-4.1925,8.2465,12.439
0.219,-0.037823,0.016621,-0.0081136,0.09525,-0.0029259,-4.1923,8.2462,12.439
0.22,0.035904,-0.022964,-0.0066471,0.095614,-0.0029393,-4.1922,8.2457,12.438
0.221,-0.0032244,0.01552,0.024651,0.095976,-0.0029527,-4.1921,8.2451,12.437
0.222,-0.014496,-0.0014712,-0.010338,0.096338,-0.002966,-4.192,8.2443,12.436
0.223,0.0042843,0.0057301,-0.015242,0.096699,-0.0029794,-4.192,8.2435,12.435
0.224,0.013789,-0.0027403,0.016739,0.097058,-0.0029928,-4.192,8.2425,12.435
0.225,-0.016708,-0.004189,0.0066577,0.097417,-0.0030061,-4.1922,8.2414,12.434
0.226,-0.0059398,-0.010259,-0.024598,0.097775,-0.0030195,-4.1923,8.2402,12.433
0.227,0.017251,0.008548,0.0087296,0.098132,-0.0030328,-4.1926,8.2388,12.431
0.228,0.0092926,0.017817,0.021694,0.098488,-0.0030462,-4.193,8.2373,12.43
0.229,-0.033382,-0.014799,-0.014083,0.098843,-0.0030596,-4.1934,8.2357,12.429
0.23,0.032192,-0.011053,-0.022998,0.099197,-0.0030729,-4.1939,8.2339,12.428
0.231,-0.025327,0.015494,0.021132,0.09955,-0.0030863,-4.1946,8.232,12.427
0.232,0.016621,-0.0050433,0.021978,0.099902,-0.0030996,-4.1953,8.23,12.425
0.233,-0.010088,0.004373,-0.03557,0.10025,-0.003113,-4.1961,8.2279,12.424
0.234,0.0052162,-0.019844,0.00466,0.1006,-0.0031264,-4.1969,8.2257,12.423
0.235,0.010828,0.023909,0.020165,0.10095,-0.0031397,-4.1979,8.2234,12.421
0.236,-0.011638,0.0018123,-0.018146,0.1013,-0.0031531,-4.1989,8.221,12.42
0.237,-0.012417,0.00052945,0.0018676,0.10165,-0.0031664,-4.1999,8.2184,12.418
0.238,0.010513,-0.037195,0.011785,0.10199,-0.0031798,-4.201,8.2158,12.417
0.239,0.017181,0.023543,-0.0041243,0.10234,-0.0031932,-4.2021,8.213,12.415
0.24,-0.023093,0.0082958,-0.010543,0.10268,-0.0032065,-4.2033,8.2101,12.413
0.241,0.003023,0.014577,0.006904,0.10303,-0.0032199,-4.2046,8.2071,12.412
0.242,0.02923,-0.026154,0.0035572,0.10337,-0.0032332,-4.206,8.204,12.41
0.243,-0.040739,-0.0021689,-0.0083503,0.10371,-0.0032466,-4.2075,8.2008,12.408
0.244,0.0033496,0.0073822,0.0054539,0.10405,-0.00326,-4.2091,8.1975,12.407
0.245,0.021707,0.0037013,-0.00056153,0.10439,-0.0032733,-4.2107,8.194,12.405
0.246,0.0051436,-0.0010965,0.01365,0.10472,-0.0032867,-4.2125,8.1905,12.403
0.247,-0.014626,-0.0068485,-0.018924,0.10506,-0.0033,-4.2144,8.187,12.401
0.248,-0.0091563,0.015395,-0.0086013,0.1054,-0.0033134,-4.2164,8.1833,12.4
0.249,0.0037035,-0.017428,0.0094285,0.10573,-0.0033268,-4.2184,8.1796,12.398
0.25,0.021686,0.016973,0.026418,0.10607,-0.0033401,-4.2206,8.1758,12.396
0.251,-0.012642,-0.019729,-0.024073,0.1064,-0.0033535,-4.2229,8.172,12.395
0.252,-0.013367,0.010173,0.0008848,0.10673,-0.0033668,-4.2253,8.1681,12.393
0.253,0.0054932,0.0037833,-0.02111,0.10706,-0.0033802,-4.2278,8.1642,12.392
0.254,0.013011,-0.0089022,0.037595,0.10739,-0.0033936,-4.2304,8.1602,12.391
0.255,0.004297,0.012901,0.0028307,0.10772,-0.0034069,-4.2332,8.1561,12.389
0.256,-0.020521,-0.0032188,-0.035345,0.10805,-0.0034203,-4.236,8.152,12.388
0.257,0.00607,-0.016451,0.0092004,0.10837,-0.0034336,-4.239,8.1478,12.387
0.258,-0.0053538,0.010988,0.014699,0.1087,-0.003447,-4.2421,8.1436,12.386
0.259,0.018952,0.0060202,0.00023447,0.10902,-0.0034604,-4.2453,8.1393,12.385
0.26,-0.012238,-0.0084779,-0.0095561,0.10935,-0.0034737,-4.2486,8.135,12.384
0.261,0.00051814,0.021914,0.0029486,0.10967,-0.0034871,-4.2519,8.1307,12.383
0.262,0.0070207,-0.03145,0.001598,0.10999,-0.0035005,-4.2554,8.1263,12.382
0.263,-0.017756,-0.013952,-0.014635,0.11031,-0.0035138,-4.2589,8.1218,12.381
0.264,0.018878,0.058821,0.014446,0.11063,-0.0035272,-4.2626,8.1174,12.38
0.265,-0.017373,-0.027485,0.022645,0.11094,-0.0035405,-4.2664,8.1129,12.379
0.266,0.020765,-0.019834,-0.041462,0.11126,-0.0035539,-4.2702,8.1084,12.379
0.267,-0.0066025,0.016764,0.012628,0.11158,-0.0035673,-4.2742,8.1039,12.378
0.268,-0.012237,0.0034467,0.0088477,0.11189,-0.0035806,-4.2783,8.0994,12.378
0.269,0.0014426,-0.010693,-0.0063113,0.1122,-0.003594,-4.2825,8.0949,12.377
0.27,0.012977,0.0077279,0.0067792,0.11252,-0.0036073,-4.2868,8.0903,12.377
0.271,-0.0040349,0.0015945,-0.0058407,0.11283,-0.0036207,-4.2912,8.0858,12.377
0.272,0.0059748,-0.0057723,0.0072898,0.11314,-0.0036341,-4.2957,8.0812,12.377
0.273,-0.019645,-0.0001008,-0.016628,0.11345,-0.0036474,-4.3003,8.0766,12.377
0.274,0.0065636,0.012357,0.010224,0.11375,-0.0036608,-4.305,8.072,12.377
0.275,0.01321,-0.019546,0.0013375,0.11406,-0.0036741,-4.3097,8.0674,12.377
0.276,-0.019887,0.013107,0.0022652,0.11437,-0.0036875,-4.3145,8.0629,12.377
0.277,0.031434,-0.012745,-0.0020524,0.11467,-0.0037009,-4.3194,8.0583,12.378
0.278,-0.026971,0.019768,0.00056077,0.11497,-0.0037142,-4.3243,8.0538,12.378
0.279,0.0078398,-0.016639,-0.00067413,0.11528,-0.0037276,-4.3292,8.0493,12.379
0.28,-0.014099,0.024978,-0.02152,0.11558,-0.0037409,-4.3342,8.0449,12.379
0.281,0.012832,-0.03847,0.034424,0.11588,-0.0037543,-4.3392,8.0405,12.38
0.282,0.021058,0.015253,-0.0038387,0.11618,-0.0037677,-4.3441,8.0361,12.38
0.283,-0.035449,0.0080309,-0.018161,0.11647,-0.003781,-4.3491,8.0318,12.381
0.284,0.0261,0.016312,0.0087326,0.11677,-0.0037944,-4.3541,8.0275,12.382
0.285,-0.015614,-0.035227,-0.018552,0.11706,-0.0038077,-4.359,8.0233,12.382
0.286,-0.016598,0.0011394,0.033597,0.11736,-0.0038211,-4.364,8.0191,12.383
0.287,0.03957,0.035968,0.00075451,0.11765,-0.0038345,-4.3689,8.0149,12.384
